Laval,48.0733,-0.7689,France,FR,Pays de la Loire,minor,49657,49657
Saint-Herblain,47.2122,-1.6497,France,FR,Pays de la Loire,,49537,49537
Gennevilliers,48.9333,2.3000,France,FR,Île-de-France,,49410,49410
Suresnes,48.8700,2.2200,France,FR,Île-de-France,,49104,49104
Saint-Priest,45.6964,4.9439,France,FR,Auvergne-Rhône-Alpes,,48822,48822
Vincennes,48.8478,2.4392,France,FR,Île-de-France,,48798,48798
Bastia,42.7008,9.4503,France,FR,Corsica,,48768,48768
Montrouge,48.8172,2.3219,France,FR,Île-de-France,,47657,47657
Évreux,49.0200,1.1500,France,FR,Normandie,minor,47289,47289
La Courneuve,48.9322,2.3967,France,FR,Île-de-France,,47160,47160
Charleville-Mézières,49.7719,4.7161,France,FR,Grand Est,minor,46398,46398
Meudon,48.8123,2.2382,France,FR,Île-de-France,,46342,46342
Choisy-le-Roi,48.7630,2.4090,France,FR,Île-de-France,,46129,46129
Noisy-le-Sec,48.8894,2.4503,France,FR,Île-de-France,,46094,46094
Livry-Gargan,48.9192,2.5361,France,FR,Île-de-France,,46028,46028
Rosny-sous-Bois,48.8667,2.4833,France,FR,Île-de-France,,45655,45655
Talence,44.8000,-0.5840,France,FR,Nouvelle-Aquitaine,,45225,45225
Belfort,47.6400,6.8500,France,FR,Bourgogne-Franche-Comté,minor,45155,45155
Alfortville,48.8050,2.4239,France,FR,Île-de-France,,45046,45046
Chalon-sur-Saône,46.7806,4.8528,France,FR,Bourgogne-Franche-Comté,minor,45031,45031
Sète,43.4053,3.6975,France,FR,Occitanie,,44712,44712
Mantes-la-Jolie,48.9908,1.7172,France,FR,Île-de-France,minor,44539,44539
Saint-Brieuc,48.5136,-2.7653,France,FR,Bretagne,minor,44224,44224
Tarbes,43.2300,0.0700,France,FR,Occitanie,minor,43955,43955
Alès,44.1281,4.0817,France,FR,Occitanie,minor,43892,43892
Châlons-en-Champagne,48.9575,4.3650,France,FR,Grand Est,minor,43877,43877
